Station,,,,,,,,,,,,,,,,,,,,
Penn Station,00:44,06:36,07:47,08:28,09:05,10:05,11:01,11:05,13:05,14:36,15:21,16:03,16:24,17:09,17:36,17:51,19:27,20:25,21:24,
Woodside,0:56,6:47,8:00,8:39,9:16,10:16,10:46,11:16,13:16,,,,,,,,,,,
Forest,1:01,,7:39,8:18,8:48,9:53,10:53,10:53,12:53,,,,,,,,,,,
Kew Gardens,1:03,,7:41,8:20,8:50,9:55,10:55,10:55,12:55,,,,,,,,,,,
Hunterspoint,,,,,,,,,,,,,,,,,,,,
Atlantic,0:19,6:37,7:50,8:30,9:05,10:05,10:35,11:05,13:05,,,,,,,,,,,
Nostrand,0:25,6:43,7:35,8:36,9:12,10:12,10:42,11:12,13:12,,,,,,,,,,,
East New York,0:29,6:48,7:40,8:41,9:17,10:17,10:47,11:17,13:17,,,,,,,,,,,
Jamaica/JFK,01:07,06:56,08:10,08:49,09:26,10:26,11:21,11:26,13:26,14:56,15:42,16:26,16:45,17:30,18:00,18:13,19:45,20:49,21:47,
Mineola,1:23,,,,,,,,,,,,,,,,,,,
Hicksville,1:31,,,,,,,,,,,,,,,,,,,
Babylon,,7:51,8:50,,10:18,11:18,,12:18,14:18,,,,,,,,,,,
Bay Shore,1:52,8:01,9:00,9:32,10:27,11:27,12:21,12:27,14:27,,,,,,,,,,,
Islip,1:57,8:06,,9:37,10:32,11:32,,12:32,14:32,,,,,,,,,,,
Great River,2:00,8:09,,9:40,10:35,11:35,,12:35,14:35,,,,,,,,,,,
Oakdale,2:04,8:13,,9:44,10:39,11:39,,12:39,14:39,,,,,,,,,,,
Sayville,02:08,08:18,09:11,09:49,10:44,11:44,12:31,12:44,14:44,16:07,16:51,17:33,17:54,18:36,19:11,19:18,21:00,21:51,22:53,
Transfer,J,T,T,J,JT,JT,J,JT,JT,J,T,T,J,J,JT,J,JT,J,T,
