Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
06:00,07:10,07:10,07:10,07:25,08:30,08:30
07:25,09:45,09:45,09:45,08:25,09:50,09:50
08:25,12:00,12:00,12:00,9:45,10:50,10:50
09:45,14:00,14:00,14:00,12:00,11:50,11:50
12:00,16:00,16:00,16:00,14:00,12:45,12:45
14:00,18:00,18:00,18:00,16:00,13:45,13:45
16:00,20:00,20:00,20:00,17:00,14:45,14:45
18:00,22:00,22:00,23:00,18:00,15:45,15:45
22:00,,,,19:00,16:45,16:45
,,,,20:00,17:45,17:45
,,,,21:00,18:45,18:45
,,,,23:00,19:45,19:45
,,,,,20:45,20:45
,,,,,21:45,21:45
,,,,,23:30,23:30
