Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
05:35,06:45,06:45,06:45,07:00,08:00,08:00
07:00,09:15,09:15,09:15,08:00,09:25,09:25
08:00,11:30,11:30,11:30,09:15,10:25,10:25
09:15,13:30,13:30,13:30,11:30,11:25,11:25
11:30,15:30,15:30,15:30,13:30,12:20,12:20
13:30,17:30,17:30,16:30,14:30,13:15,13:15
16:30,19:30,19:30,17:30,15:30,14:15,14:15
17:30,21:15,21:15,19:30,16:30,15:15,15:15
19:30,,,20:30,17:30,16:15,16:15
21:15,,,22:15,18:30,17:15,17:15
,,,,19:30,18:15,18:15
,,,,20:30,19:15,19:15
,,,,22:15,20:15,20:15
,,,,,22:00,22:00
